R,x,height,clutter,location_type,label,-10.5dB_20.00%,-7.0dB_0.10%,-6.0dB_0.03%
2600,2600,1,both_ends,direita,"R=2600, x=2600, h=1m, clt=both_ends",-14.521437269937167,-4.583043850492242,-3.3985183006781554
2600,-2600,1,both_ends,esquerda,"R=2600, x=-2600, h=1m, clt=both_ends",-11.274597589788698,5.453621963344394,7.686935161324267
2600,,1,both_ends,uniforme,"R=2600, UNIFORM, h=1m, clt=both_ends",-13.21474607398821,2.1747346414869693,3.922685907430367
3600,3600,1,both_ends,direita,"R=3600, x=3600, h=1m, clt=both_ends",-21.324592655223313,-12.767291834348384,-11.408497532826047
3600,-3600,1,both_ends,esquerda,"R=3600, x=-3600, h=1m, clt=both_ends",-17.911524834774497,-3.1748171526426887,-1.1155815136941287
3600,,1,both_ends,uniforme,"R=3600, UNIFORM, h=1m, clt=both_ends",-20.08037059696892,-6.619634818760257,-5.5274196709633525
6600,6600,1,both_ends,direita,"R=6600, x=6600, h=1m, clt=both_ends",-33.34709529277046,-25.45609411840752,-24.480967574966012
6600,-6600,1,both_ends,esquerda,"R=6600, x=-6600, h=1m, clt=both_ends",-29.698327413338347,-17.292336400415593,-16.0613715602155
6600,,1,both_ends,uniforme,"R=6600, UNIFORM, h=1m, clt=both_ends",-32.344766439240885,-20.179673869705937,-18.952721574242776
11600,11600,1,both_ends,direita,"R=11600, x=11600, h=1m, clt=both_ends",-44.745353980028824,-36.83848860758229,-35.629616322698034
11600,-11600,1,both_ends,esquerda,"R=11600, x=-11600, h=1m, clt=both_ends",-41.151318229271794,-29.068683861097377,-28.048992460256585
11600,,1,both_ends,uniforme,"R=11600, UNIFORM, h=1m, clt=both_ends",-43.94335965487056,-32.47519512380265,-30.81957537366393
